,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
703,ABX|NEMCRP,33,NEMCRP,10/10/2013,ABX,10,FALSE,265.725,288.445,0.921232817,FALSE,5.582461939,5.664504427,0.985516388
704,ABX|NEMCRP,33,NEMCRP,10/11/2013,ABX,10,FALSE,281.335,299.525,0.939270512,FALSE,5.63954613,5.702197887,0.9890127
705,ABX|NEMCRP,33,NEMCRP,10/14/2013,ABX,10,FALSE,281.3,299.5,0.939232053,FALSE,5.639421715,5.702114418,0.989005359
706,ABX|NEMCRP,33,NEMCRP,10/15/2013,ABX,10,FALSE,282.365,300.89,0.93843265,FALSE,5.64320056,5.706744749,0.988865072
707,ABX|NEMCRP,33,NEMCRP,10/16/2013,ABX,10,FALSE,276.81,298.58,0.927088218,FALSE,5.62333135,5.699037904,0.986715906
708,ABX|NEMCRP,33,NEMCRP,10/17/2013,ABX,10,FALSE,257.055,280.31,0.917038279,FALSE,5.54929007,5.635896134,0.984633133
709,ABX|NEMCRP,33,NEMCRP,10/18/2013,ABX,10,FALSE,253.47,277.03,0.914955059,FALSE,5.535245473,5.624125804,0.984196596
710,ABX|NEMCRP,33,NEMCRP,10/21/2013,ABX,10,FALSE,248.175,275.255,0.901618499,FALSE,5.514134142,5.617697941,0.981564726
711,ABX|NEMCRP,33,NEMCRP,10/22/2013,ABX,10,FALSE,236.35,258.395,0.914684882,FALSE,5.465313757,5.554489422,0.983945299
712,ABX|NEMCRP,33,NEMCRP,10/23/2013,ABX,10,FALSE,239.15,266.64,0.89690219,FALSE,5.47709097,5.585899434,0.98052087
713,ABX|NEMCRP,33,NEMCRP,10/24/2013,ABX,10,FALSE,230.835,269.475,0.856610075,FALSE,5.44170317,5.596475622,0.972344657
714,ABX|NEMCRP,33,NEMCRP,10/25/2013,ABX,10,FALSE,230.055,258.045,0.891530547,FALSE,5.438318411,5.553133988,0.979324184
715,ABX|NEMCRP,33,NEMCRP,10/28/2013,ABX,10,FALSE,227.675,258.2,0.881777692,FALSE,5.427919173,5.553734478,0.977345819
716,ABX|NEMCRP,33,NEMCRP,10/29/2013,ABX,10,FALSE,230.59,258.21,0.893032803,FALSE,5.440641242,5.553773207,0.979629711
717,ABX|NEMCRP,33,NEMCRP,10/30/2013,ABX,10,FALSE,232.685,260.18,0.894323161,FALSE,5.449685608,5.561373699,0.979917176
718,ABX|NEMCRP,33,NEMCRP,10/31/2013,ABX,10,FALSE,228.06,258.81,0.881186971,FALSE,5.429608752,5.556094202,0.977234826
719,ABX|NEMCRP,34,NEMCRP,11/1/2013,ABX,11,TRUE,195.745,246.195,0.795081135,FALSE,5.276812792,5.506123905,0.958353441
720,ABX|NEMCRP,34,NEMCRP,11/4/2013,ABX,11,FALSE,190.545,243.97,0.781018158,FALSE,5.249888387,5.497045267,0.955038231
721,ABX|NEMCRP,34,NEMCRP,11/5/2013,ABX,11,FALSE,196.44,246.26,0.797693495,FALSE,5.280357041,5.506387888,0.958951158
722,ABX|NEMCRP,34,NEMCRP,11/6/2013,ABX,11,FALSE,192.36,243.495,0.789995688,FALSE,5.259368616,5.495096408,0.957102155
723,ABX|NEMCRP,34,NEMCRP,11/7/2013,ABX,11,FALSE,198.525,248.545,0.798748718,FALSE,5.290915037,5.515623916,0.959259572
724,ABX|NEMCRP,34,NEMCRP,11/8/2013,ABX,11,FALSE,202,254.635,0.79329236,FALSE,5.308267697,5.539831147,0.958200269
725,ABX|NEMCRP,34,NEMCRP,11/11/2013,ABX,11,FALSE,201.8,254.3,0.793550924,FALSE,5.307277108,5.538514672,0.958249174
726,ABX|NEMCRP,34,NEMCRP,11/12/2013,ABX,11,FALSE,201.305,258.035,0.780146104,FALSE,5.304821171,5.553095235,0.955290869
727,ABX|NEMCRP,34,NEMCRP,11/13/2013,ABX,11,FALSE,201.325,257.6,0.781541149,FALSE,5.304920518,5.551407994,0.955599106
